item_id,brand,monthy_sale_trend_202511,monthy_sale_trend_202512,202512月销量,品牌
MLC1070747718,,,,0.0,Philco
MLC1071006015,,,,0.0,CAMARA SOLAR
MLC1071575543,,,,0.0,Smart IP Cámara Acesee de Foscam.CL
MLC1072013073,,0.0,0.0,0.0,Dahua
MLC1073043487,,,,0.0,Mini Cámara
MLC1073048707,,0.0,0.0,0.0,Dahua
MLC1073083303,,,,0.0,BETENSH
MLC1073088657,,,,0.0,Genérica
MLC1073089212,,,,0.0,Nexxt Solutions
MLC1073093580,,,,0.0,Dahua
MLC1073094271,,,,0.0,Hikvision
MLC1073101829,,,,0.0,D-Link
MLC1073332336,,,,0.0,Vision
MLC1074144417,,0.0,2.0,2.0,Yoosee
MLC1074661566,,0.0,0.0,0.0,Genérica
MLC1074680606,,0.0,0.0,0.0,Genérica
MLC1075203848,,,,0.0,Genérica
MLC1075216663,,,,0.0,Genérica
MLC1075223063,,,,0.0,Genérica
MLC1075236113,,,,0.0,Genérica
MLC1075391838,,,,0.0,Genérica
MLC1075479506,,0.0,2.0,2.0,Genérica
MLC1075996331,,,,0.0,Dahua
MLC1076403509,,,,0.0,Camara
MLC1076648191,,,,0.0,Dahua
MLC1076880850,,,,0.0,Dahua
MLC1076921721,,,,0.0,Dahua
MLC1077129894,,,,0.0,Andowl
MLC1077879632,,,,0.0,Philco
MLC1077950094,,,,0.0,Hikvision
MLC1077951216,,,,0.0,Genérica
MLC1077979799,,,,0.0,Hikvision
MLC1079067512,,,,0.0,EPA
MLC1079079672,,,,0.0,EPA
MLC1079234983,,,,0.0,Genérica
MLC1079240980,,1.0,1.0,2.0,EPA
MLC1079247670,,2.0,0.0,0.0,EPA
MLC1079880269,,,,0.0,Mlab
MLC1079971750,,,,0.0,Wifi smart net camera
MLC1079979134,,,,0.0,Imou
MLC1079999749,,,,0.0,Genérica
MLC1080172275,,,,0.0,Imou
MLC1080177324,,,,0.0,Genérica
MLC1081079215,,,,0.0,Wi-Fi Smart Camera
MLC1081121471,,,,0.0,Vision
MLC1082111532,,,,0.0,Ezviz
MLC1082123495,,,,0.0,Mini Cámara
MLC1082200397,,,,0.0,Ezviz
MLC1082206793,,,,0.0,Ezviz
MLC1082474194,,,,0.0,Wyze
MLC1082924653,,,,0.0,Philco
MLC1083093062,,,,0.0,Hikvision
MLC1083315032,,0.0,0.0,0.0,Camara
MLC1083536400,,,,0.0,TP-Link
MLC1084298037,,,,0.0,Reolink
MLC1084665756,,,,0.0,Camara
MLC1084684453,Sricam,0.0,0.0,0.0,Sricam
MLC1084715987,,,,0.0,Mini Cámara
MLC1084732397,,,,0.0,dc import
MLC1084927925,,,,0.0,Smart Camara
MLC1085726235,,0.0,0.0,0.0,Minifiestas
MLC1085756245,,,,0.0,Vision
MLC1085974559,,,,0.0,Ezviz
MLC1088130566,,,,0.0,WiFI Smart Camera
MLC1088137953,,,,0.0,Dahua
MLC1088180466,,,,0.0,Tecnolab
